Municipio;Estado Scraping;Nombre;Cargo;Partido;Email;URL Perfil;URL Origen
Arico;success;Olivia Delgado;Teniente de alcalde;PSOE;;;https://www.ayuntamientodearico.com
Arico;success;Olivia Delgado;Alcaldesa de arico;SIN INFORMACIÓN;;;https://www.ayuntamientodearico.com
Arico;success;Sebastián González;Concejal de mayores;SIN INFORMACIÓN;;;https://www.ayuntamientodearico.com
Arico;success;Olivia Delgado;Alcaldesa de arico;ARICO;;;https://www.ayuntamientodearico.com
Arico;success;Ariam Álvarez;Segunda teniente de alcaldesa y concejala de obras y servicios;;;;https://www.ayuntamientodearico.com
Arico;success;Agustín Tejera;Cuarto teniente alcalde y concejal de educación;;;;https://www.ayuntamientodearico.com
Arico;success;Andrés Martínez;Alcalde;;;;https://www.ayuntamientodearico.com
Arico;success;Eudelia Pestano;Concejala de participación ciudadana;;;;https://www.ayuntamientodearico.com
Arico;success;Olivia Delgado;Primera teniente de alcalde;;;;https://www.ayuntamientodearico.com
Arico;success;Andrés Martínez;Alcalde de arico;;;https://www.ayuntamientodearico.com/<https:/www.ayuntamientodearico.com/andres-martinez-asume-la-alcaldia-de-arico-tras-el-pleno-extraordinario-celebrado-este-martes-23-de-diciembre/>;https://www.ayuntamientodearico.com
Arico;success;Olivia Delgado;Primera teniente de alcalde y concejala de hacienda;;;;https://www.ayuntamientodearico.com
Arico;success;Olivia Delgado;Alcaldesa de arico;PSOE Y PP;;;https://www.ayuntamientodearico.com
Arico;success;Andrés Martínez;Primer teniente de alcalde;;;;https://www.ayuntamientodearico.com
Arona;success;Fátima Lemes Reverón;Alcaldesa;PARTIDO POPULAR;portalweb@arona.org;https://www.arona.org/Tu-Ayuntamiento/Ayuntamiento-de-Arona/La-Alcaldesa;https://www.arona.org
